ScreenName	FieldName	DefaultText	NewText	HeaderHeight	HeaderWidth	ValueHeight	ValueWidth	HAlignment	HForeColor	HBackColor	VForeColor	VBackColor	VAlignment	HFont	HFontSize	HFontStyle	VFont	VFontSize	VFontStyle	DisplayNo	HForeColorName	HBackColorName	VForeColorName	VBackColorName	DataMember	IsHidden	Language	DefaultValue	Visible	SolutionName	ts	FieldControl	ShowBorder	BorderColor	DataMemberType	LineIndex	AccessLevel
FormStatus	BillPin	Bill Pin	Bill Postal Code	30	20	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	16.1	White	Red	White	Red	BillPin	NULL	English		NULL	SALES	0x0000000000000C10	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	DeliveryCode	Delivery Code	Delivery Code	30	20	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	16.2	White	Red	White	Red	DeliveryCode	NULL	English		NULL	SALES	0x0000000000000C11	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	DeptCode	DeptCode	Department	30	40	30	100	2	-1	-14737633	-14737633	16777215	2	Tahoma	16	0	Tahoma	18	0	18	White	Red	White	Red	DeptCode	NULL	English		NULL	SALES	0x0000000000000C12	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	CancelBtn	CancelBtn	Cancel	30	10	30	100	2	-1	-14737633	-14737633	16777215	3	Tahoma	16	0	Tahoma	14	0	19.1	White	Red	White	Red	EditBtn	NULL	English	EDIT	NULL	SALES	0x0000000000000C14	BUTTON	NULL	-16777216	STRING	4	NULL
FormStatus	SaveBtn	SaveBtn	Save	30	10	30	100	2	-1	-14737633	-14737633	16777215	3	Tahoma	21	0	Tahoma	14	0	19.2	White	Red	White	Red	SaveBtn	NULL	English	 SAVE 	NULL	SALES	0x0000000000000C16	BUTTON	NULL	-16777216	STRING	2	4
NewCustomer	Address	Address	Delivery Address	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	4	White	Red	White	Red	Address	NULL	English		NULL	SALES	0x0000000000000B79	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	Address2		Delivery Address 2	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	5	White	Red	White	Red	Address2	NULL	English		NULL	SALES	0x0000000000000B7A	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	city	City	City	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	6	White	Red	White	Red	city	NULL	English		NULL	SALES	0x0000000000000B7B	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	pin	Postal Code	DeliveryPostal Code	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	7	White	Red	White	Red	pin	NULL	English		NULL	SALES	0x0000000000000B7C	TEXTBOX	NULL	-16777216	NUMBER	NULL	NULL
NewCustomer	GSTCustGroup	Customer Group	Sales Channel	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	8	White	Red	White	Red	GSTCustGroup	NULL	English		NULL	SALES	0x0000000000000B7D	COMBOBOX	NULL	-16777216	STRING	NULL	NULL
